Accession,Keywords,Go
Q5WW20,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
P38025,"ATP-binding,Chloroplast,Complete proteome,Ligase,Nucleotide-binding,Plastid,Purine biosynthesis,Reference proteome,Transit peptide","C:chloroplast,C:chloroplast stroma,F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process,P:response to auxin"
Q07463,"ATP-binding,Chloroplast,Ligase,Nucleotide-binding,Plastid,Purine biosynthesis,Transit peptide","C:chloroplast,F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
Q9A3G2,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
Q8UCE7,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
Q98I23,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
Q8A004,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
Q5LH03,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
A6GYJ4,"ATP-binding,Complete proteome,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:phosphoribosylaminoimidazolesuccinocarboxamide synthase activity,P:'de novo' IMP biosynthetic process"
A0B5C6,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q9ZB07,"ATP-binding,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q5JFP4,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q9CFE7,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q3AS25,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q9UXW5,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
O59619,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q8PTB0,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q5SI57,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q72IH9,"ATP-binding,Complete proteome,Cytoplasm,Glutamine amidotransferase,Hydrolase,Ligase,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:glutaminase activity,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process,P:glutamine metabolic process"
Q3A515,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
Q3AD62,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
B0KBQ3,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
B5EFU7,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
C0ZKC8,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
Q0AW29,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
C6E6M9,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
B3E3K3,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
Q74CB6,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
Q9KF55,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:phosphoribosylformylglycinamidine cyclo-ligase activity,P:'de novo' IMP biosynthetic process"
A0B5C7,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
A4IJX3,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
Q5L3D2,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
B4UIX7,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
Q02Y55,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
A7HIJ4,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
Q9ZB06,"ATP-binding,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
C5D4I0,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
Q2IHC1,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
Q9CFE8,"ATP-binding,Complete proteome,Cytoplasm,Ligase,Magnesium,Metal-binding,Nucleotide-binding,Purine biosynthesis,Reference proteome","C:cytoplasm,F:ATP binding,F:metal ion binding,F:phosphoribosylformylglycinamidine synthase activity,P:'de novo' IMP biosynthetic process"
Q5ZUS0,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
Q5WVX4,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
A5ICM2,"ATP-binding,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
Q5X4I9,"ATP-binding,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
Q60C21,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
A8AD80,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
C4L8C4,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
Q3YZ45,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
A4WD82,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis,Reference proteome","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
B5XNM4,"ATP-binding,Complete proteome,Glutamine amidotransferase,GMP biosynthesis,Ligase,Nucleotide-binding,Purine biosynthesis","F:ATP binding,F:GMP synthase (glutamine-hydrolyzing) activity,F:pyrophosphatase activity,P:glutamine metabolic process,P:GMP biosynthetic process"
P31002,"CBS domain,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
Q9L6B7,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Reference proteome,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
P44334,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Reference proteome,Repeat","C:cytoplasm,F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process,P:GTP biosynthetic process"
Q0WD32,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Reference proteome,Repeat","C:cytoplasm,F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process,P:GTP biosynthetic process"
P0ADG8,"Acetylation,CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
O50316,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
Q9KGN8,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Reference proteome,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
O67820,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Reference proteome,Repeat","C:cytoplasm,F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process,P:GTP biosynthetic process"
Q8KCW4,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Reference proteome,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
P0DB88,"CBS domain,Complete proteome,GMP biosynthesis,Metal-binding,NAD,Oxidoreductase,Potassium,Purine biosynthesis,Repeat","F:IMP dehydrogenase activity,F:metal ion binding,P:GMP biosynthetic process"
Q9I4N1,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:bacterial-type flagellum-dependent cell motility,P:protein secretion by the type III secretion system,P:proton transport"
P26465,"3D-structure,ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,F:identical protein binding,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:bacterial-type flagellum-dependent cell motility,P:protein secretion by the type III secretion system,P:proton transport"
P52612,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,F:identical protein binding,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:bacterial-type flagellum-dependent cell motility,P:protein secretion by the type III secretion system,P:proton transport"
P57178,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:protein secretion by the type III secretion system,P:proton transport"
Q89AZ7,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:protein secretion by the type III secretion system,P:proton transport"
Q8KA42,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:protein secretion by the type III secretion system,P:proton transport"
P23445,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:bacterial-type flagellum-dependent cell motility,P:protein secretion by the type III secretion system,P:proton transport"
O83417,"ATP synthesis,ATP-binding,Bacterial flagellum biogenesis,Bacterial flagellum protein export,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Protein transport,Reference proteome,Transport","C:bacterial-type flagellum,C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:ATPase activity,P:ATP biosynthetic process,P:bacterial-type flagellum assembly,P:protein secretion by the type III secretion system,P:proton transport"
P40290,"ATP synthesis,ATP-binding,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Plasmid,Protein transport,Transport,Virulence","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:proton-transporting ATPase activity, rotational mechanism,P:ATP biosynthetic process,P:pathogenesis,P:protein secretion by the type III secretion system"
P40291,"ATP synthesis,ATP-binding,Complete proteome,Cytoplasm,Hydrogen ion transport,Hydrolase,Ion transport,Nucleotide-binding,Plasmid,Protein transport,Transport,Virulence","C:cytoplasm,C:type III protein secretion system complex,F:ATP binding,F:proton-transporting ATPase activity, rotational mechanism,P:ATP biosynthetic process,P:pathogenesis,P:protein secretion by the type III secretion system"
Q9PL93,"Allosteric enzyme,ATP-binding,Complete proteome,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Repeat","F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:DNA replication"
O84834,"Allosteric enzyme,ATP-binding,Complete proteome,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Reference proteome,Repeat","F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:DNA replication"
Q9Z6S5,"Allosteric enzyme,ATP-binding,Complete proteome,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Reference proteome,Repeat","F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:DNA replication"
P55982,"Allosteric enzyme,ATP-binding,Complete proteome,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Reference proteome","F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:DNA replication"
P36602,"Allosteric enzyme,ATP-binding,Complete proteome,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Reference proteome","C:cytoplasm,C:cytosol,C:ribonucleoside-diphosphate reductase complex,F:ATP binding,F:CDP reductase activity,F:nucleoside diphosphate kinase activity,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:CDP metabolic process,P:dCDP biosynthetic process,P:deoxyribonucleotide biosynthetic process,P:DNA replication,P:dTTP biosynthetic process"
P23921,"3D-structure,Acetylation,Allosteric enzyme,ATP-binding,Complete proteome,Cytoplasm,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Phosphoprotein,Polymorphism,Reference proteome","C:cytosol,C:extracellular exosome,F:ATP binding,F:identical protein binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication,P:nucleobase-containing small molecule interconversion"
P07742,"Acetylation,Allosteric enzyme,ATP-binding,Complete proteome,Cytoplasm,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Phosphoprotein,Reference proteome","C:cell projection,C:cytosol,C:extracellular exosome,C:neuronal cell body,C:nuclear envelope,C:ribonucleoside-diphosphate reductase complex,F:ATP binding,F:disordered domain specific binding,F:identical protein binding,F:purine nucleotide binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:cell proliferation in forebrain,P:deoxyribonucleotide biosynthetic process,P:DNA replication,P:male gonad development,P:mitotic cell cycle,P:protein heterotetramerization,P:protein oligomerization,P:pyrimidine nucleobase metabolic process,P:response to ionizing radiation,P:retina development in camera-type eye"
Q5R919,"Acetylation,Allosteric enzyme,ATP-binding,Complete proteome,Cytoplasm,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Phosphoprotein,Reference proteome","C:cytoplasm,F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
Q9SJ20,"Allosteric enzyme,ATP-binding,Complete proteome,Cytoplasm,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Reference proteome","C:cytoplasm,F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleoside triphosphate biosynthetic process,P:deoxyribonucleotide biosynthetic process,P:DNA replication,P:response to cadmium ion"
Q03604,"Allosteric enzyme,ATP-binding,Complete proteome,Disulfide bond,DNA replication,Nucleotide-binding,Oxidoreductase,Reference proteome","F:ATP binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
O84835,"3D-structure,Complete proteome,DNA replication,Iron,Metal-binding,Oxidoreductase,Reference proteome","F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
Q9PL92,"Complete proteome,DNA replication,Iron,Metal-binding,Oxidoreductase","F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
Q9Z6S4,"Complete proteome,DNA replication,Iron,Metal-binding,Oxidoreductase,Reference proteome","F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
Q9ZKC3,"Complete proteome,DNA replication,Iron,Metal-binding,Oxidoreductase","F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
P55983,"Complete proteome,DNA replication,Iron,Metal-binding,Oxidoreductase,Reference proteome","F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
P50651,"Complete proteome,Cytoplasm,DNA replication,Iron,Metal-binding,Oxidoreductase,Reference proteome","C:cytosol,C:ribonucleoside-diphosphate reductase complex,F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA repair,P:DNA replication,P:multicellular organism development,P:regulation of cell cycle,P:ribonucleotide metabolic process"
P09938,"3D-structure,Complete proteome,DNA replication,Iron,Metal-binding,Nucleus,Oxidoreductase,Phosphoprotein,Reference proteome","C:cytoplasm,C:nucleus,C:ribonucleoside-diphosphate reductase complex,F:ferrous iron binding,F:protein heterodimerization activity,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,F:zinc ion binding,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
P49730,"Complete proteome,Cytoplasm,DNA replication,Iron,Metal-binding,Oxidoreductase,Reference proteome","C:cytoplasm,F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
P50650,"DNA replication,Iron,Metal-binding,Oxidoreductase","F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
P0DKH3,"Cytoplasm,DNA replication,Iron,Metal-binding,Oxidoreductase","C:cytoplasm,F:metal ion binding,F:ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor,P:deoxyribonucleotide biosynthetic process,P:DNA replication"
Q5ZTZ8,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q5WV30,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q5X3P2,"ATP-binding,Cytoplasm,Kinase,Nucleotide-binding,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q83EL7,"3D-structure,ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytosol,F:ATP binding,F:guanylate kinase activity"
Q21EC9,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q0VT94,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytoplasm,F:ATP binding,F:guanylate kinase activity"
Q9HTM2,"ATP-binding,Complete proteome,Cytoplasm,Kinase,Nucleotide-binding,Reference proteome,Transferase","C:cytosol,F:ATP binding,F:guanylate kinase activity"
